CODI_ENS;TIPUS_ENS;NOM;CARREC;AREA;PARTIT_POLITIC;MUNICIPI_REPRESENTA;ORDRE;DATA_NOMENAMENT
800180001;Municipis;JESÚS NAHARRO RODRÍGUEZ;Alcalde/ssa;Alcaldia;PSC-CP;;1;15/6/2019
800180001;Municipis;FRANCISCO SÁNCHEZ ESCRIBANO;Tinent/a d'Alcalde;Àrea de Serveis a les Persones i Famílies, Socioculturals i de Lleure;PSC-CP;;2;15/6/2019
800180001;Municipis;MARIA GUADALUPE MARCOS GIMÉNEZ;Tinent/a d'Alcalde;Àrea de Serveis Generals;PSC-CP;;3;15/6/2019
800180001;Municipis;MARÍA TERESA NOVELL JOYA;Tinent/a d'Alcalde;Àrea de Serveis Econòmics;PSC-CP;;4;15/6/2019
800180001;Municipis;ALBERT ROCA PRESAS ;Tinent/a d'Alcalde;Àrea d'Urbanisme i Espai Públic;PSC-CP;;5;15/6/2019
800180001;Municipis;XAVIER SERRET I MARSIÑACH;Tinent/a d'Alcalde;Àrea de Medi Ambient i Salut;ERC - AM;;6;15/6/2019
800180001;Municipis;JORDI MORENO MORENO ;Regidor/a;;PSC-CP;;7;15/6/2019
800180001;Municipis;MERCEDES ÁLVAREZ MONTES ;Regidor/a;;PSC-CP;;8;15/6/2019
800180001;Municipis;ALFREDO DELGADO ORTEGA;Regidor/a;;PSC-CP;;9;15/6/2019
800180001;Municipis;GIULIA MIRTO ARIÑO ;Regidor/a;;PSC-CP;;10;15/6/2019
800180001;Municipis;MONTSERRAT NAVARRO CARABALLO ;Regidor/a;;PSC-CP;;11;15/6/2019
800180001;Municipis;ARANTXA GALOFRE FREIRE;Regidor/a;;PSC-CP;;12;15/6/2019
800180001;Municipis;SARA ROCA I IBÁÑEZ;Regidor/a;;ERC - AM;;13;15/6/2019
800180001;Municipis;MIGUEL CARRIÓN MATEO;Regidor/a;;Ad'Ab;;14;15/6/2019
800180001;Municipis;JOSÉ ANDRÉS MARTÍN ÁLAMO;Regidor/a;;Ad'Ab;;15;15/6/2019
800180001;Municipis;JOAQUIN EANDI CUTTICA;Regidor/a;;ABRERACOMÚ-ECG;;16;15/6/2019
800180001;Municipis;MÓNICA LORENTE GIL;Regidor/a;;Cs;;17;15/6/2019
800230008;Municipis;PERE ALIAGUILLA ARNAO;Alcalde/ssa;Relacions Institucionals, Hisenda(compartida), Telecomunicacions(compartida);JUNTS;;1;15/6/2019
800230008;Municipis;MANEL CALDERÓ VERGEL ;Tinent/a d'Alcalde;Hisenda(compartida),Gestió Local Social,Esports, P. Civil, Seg.Ciutadana, Telec.(compartida);JUNTS;;2;15/6/2019
800230008;Municipis;TERESA VIÑALS DUOCASTELLA ;Tinent/a d'Alcalde;Serveis Socials, Cultura, Festes(compartida), Regidoria de la Dona(compartida), Turisme(compartida);JUNTS;;3;15/6/2019
800230008;Municipis;JAUME BERTRAN MASANES ;Regidor/a;Agricultura, Camins Rurals, Delegat ADF, Festes(compartida), Aigua;JUNTS;;4;15/6/2019
800230008;Municipis;MIREIA TORRA ANGUERA ;Regidor/a;Comunicació Veïnal,Serveis M., Turisme(comp.),Joventut(comp.),Festes(comp.),Urb.Obres, Reg.Dona(com);JUNTS;;5;15/6/2019
800230008;Municipis;MONTSERRAT ISERN I VIVANCOS;Regidor/a;Ensenyament, Del.Ass.Micropobles de C., Sanitat, Afers Religiosos, Festes(comp.)Reg.de la Dona(comp);GA - AM;;6;15/6/2019
800230008;Municipis;MARCEL BONAVENTURA I PUJOL;Regidor/a;M. Ambient, Del.Cons.de Residus, Del.Manco.G. de Residus,Sanitat Animal,Festes(comp) Joventut(comp);GA - AM;;7;15/6/2019
800390004;Municipis;MARC ALMENDRO I CAMPILLO;Alcalde/ssa;Serveis Territorials, Comunicació, Participació i Transparència;ERC+SxA - AM;;1;15/6/2019
800390004;Municipis;MARIA TERESA VILARÓ I COMAS;Tinent/a d'Alcalde;Educació, Infància i Cooperació al Desenvolupament;ERC+SxA - AM;;2;15/6/2019
800390004;Municipis;ISRAEL PAYÀ I TODOLÍ;Tinent/a d'Alcalde;Serveis Interns, Seguretat Ciutadana, Esports i Promoció de la Salut;ERC+SxA - AM;;3;15/6/2019
800390004;Municipis;XÈNIA MATAS I CASTANY;Tinent/a d'Alcalde;Medi Ambient i Sostenibilitat;ERC+SxA - AM;;4;15/6/2019
800390004;Municipis;LAURA RIBALAIGA I PRATS;Tinent/a d'Alcalde;Servei a les Persones;ERC+SxA - AM;;5;15/6/2019
800390004;Municipis;ELISABET VILARÓ I GEA;Regidor/a;Cultura, Equitat, Turisme i Identitat;ERC+SxA - AM;;6;15/6/2019
800390004;Municipis;MERCÈ VIZERN I LÓPEZ;Regidor/a;Promoció Econòmica, Festes, Gent Gran, Adolescència i Joventut;ERC+SxA - AM;;7;15/6/2019
800390004;Municipis;ESTEVE GARCÍA-OSSORIO BARROSO;Regidor/a;;JxCat-JUNTS;;8;15/6/2019
800390004;Municipis;NATÀLIA BRENES CORDERO ;Regidor/a;;JxCat-JUNTS;;9;15/6/2019
800390004;Municipis;MARC (MARK) ULLOD LÓPEZ;Regidor/a;;AA-CUP-AMUNT;;10;15/6/2019
800390004;Municipis;CRISTÓBAL ZUERAS ROSALES;Regidor/a;;AP-PSC-CP;;11;15/6/2019
800390004;Municipis;SUSANA ALONSO ORTIZ;Regidor/a;;Cs;;12;15/6/2019
800390004;Municipis;JOSE BARDÉS CONESA;Regidor/a;;gdA;;13;15/6/2019
800440003;Municipis;MONTSE BARNIOL CARCASONA;Alcalde/ssa;Governació, Urbanisme, Serveis i Promoció local;IA-AM;;1;15/6/2019
800440003;Municipis;LLUÍS REINA ORRA;Tinent/a d'Alcalde;Cultura, Sanitat;IA-AM;;2;15/6/2019
800440003;Municipis;MAGDALENA JAREÑO CAMERO;Tinent/a d'Alcalde;Treball Social, Igualtat, Cultura, Esports;IA-AM;;3;15/6/2019
800440003;Municipis;MONTSERRAT ESTRADA RUSIÑOL;Regidor/a;Hisenda, Medi Ambient, Joventut;IA-AM;;4;15/6/2019
800440003;Municipis;MONTSE RUBAU RIERA ;Regidor/a;;JxCAT-JUNTS;;5;15/6/2019
800440003;Municipis;FRANCESC CASTANY VILADRICH ;Regidor/a;;JxCAT-JUNTS;;6;15/6/2019
800440003;Municipis;SARA CARABALLO OLLER ;Regidor/a;;JxCAT-JUNTS;;7;15/6/2019
800570005;Municipis;JOSEP MORET TANYÀ;Alcalde/ssa;Participació Ciutadana, Recursos Humans, Governació, Seguretat Ciutadana i Protecció Civil;ERC-AM;;1;15/6/2019
800570005;Municipis;PERE MARIEGES CASTELLS;Tinent/a d'Alcalde;Urbanisme i Obra Pública, Mobilitat i Transport;A'T;;2;15/6/2019
800570005;Municipis;JAUME DURALL LOBETE;Tinent/a d'Alcalde;Acció Social, Sanitat i Igualtat;LECP-ECG;;3;15/6/2019
800570005;Municipis;MIREIA MORILLAS I RAMOS;Tinent/a d'Alcalde;Medi Ambient, Comerç, Consum, Promoció Econòmica i Turisme;ERC-AM;;4;15/6/2019
